time,x,y,yaw,v,w,left_rpm,right_rpm,ref_x,ref_y,ref_yaw,ref_v,ref_w,ref_left_rpm,ref_right_rpm
1.02,2.71399,0.493138,61.8613,0.41223,0.285714,7.24461,9.24461,2.96158,0.47861,99.18,0.471239,0.15708,8.875,9.97456
1.03,2.71594,0.496773,62.025,0.41223,0.285714,7.24461,9.24461,2.96082,0.483261,99.27,0.471239,0.15708,8.875,9.97456
1.04,2.71787,0.500414,62.1887,0.41223,0.285714,7.24461,9.24461,2.96006,0.487911,99.36,0.471239,0.15708,8.875,9.97456
1.05,2.71981,0.5041,62.3524,0.416753,0.285714,7.33506,9.33506,2.95929,0.492561,99.45,0.471239,0.15708,8.875,9.97456
1.06,2.72175,0.507792,62.5161,0.416753,0.285714,7.33506,9.33506,2.95851,0.497208,99.54,0.471239,0.15708,8.875,9.97456
1.07,2.72367,0.511489,62.6798,0.416753,0.285714,7.33506,9.33506,2.95773,0.501855,99.63,0.471239,0.15708,8.875,9.97456
1.08,2.72558,0.515192,62.8435,0.416753,0.285714,7.33506,9.33506,2.95693,0.5065,99.72,0.471239,0.15708,8.875,9.97456
1.09,2.72749,0.5189,63.0072,0.416753,0.285714,7.33506,9.33506,2.95613,0.511144,99.81,0.471239,0.15708,8.875,9.97456
1.1,2.7294,0.522652,63.1709,0.421135,0.285714,7.42269,9.42269,2.95533,0.515787,99.9,0.471239,0.15708,8.875,9.97456
1.11,2.7313,0.52641,63.3347,0.421135,0.285714,7.42269,9.42269,2.95451,0.520429,99.99,0.471239,0.15708,8.875,9.97456
1.12,2.73319,0.530174,63.4984,0.421135,0.285714,7.42269,9.42269,2.95369,0.525069,100.08,0.471239,0.15708,8.875,9.97456
1.13,2.73507,0.533943,63.6621,0.421135,0.285714,7.42269,9.42269,2.95286,0.529708,100.17,0.471239,0.15708,8.875,9.97456
1.14,2.73694,0.537717,63.8258,0.421135,0.285714,7.42269,9.42269,2.95203,0.534346,100.26,0.471239,0.15708,8.875,9.97456
1.15,2.73881,0.541534,63.9895,0.42538,0.285714,7.5076,9.5076,2.95119,0.538982,100.35,0.471239,0.15708,8.875,9.97456
1.16,2.74068,0.545357,64.1532,0.42538,0.285714,7.5076,9.5076,2.95034,0.543617,100.44,0.471239,0.15708,8.875,9.97456
1.17,2.74253,0.549186,64.3169,0.42538,0.285714,7.5076,9.5076,2.94948,0.548251,100.53,0.471239,0.15708,8.875,9.97456
